fog_A_load,fog_B_load,fog_C_load,fog_D_load,fog_A_queue,fog_B_queue,fog_C_queue,fog_D_queue,exec_cost_norm,speed_norm,t_exit_norm,action,nsga_latency_ms,nsga_energy_j
0.6256758267057798,0.4413831418636288,0.6722288559512604,0.5835524159826502,0.3019273914424916,0.9184418955155542,0.7812940354315159,0.1105884109961105,0.4,0.4403370724769139,0.16125406285192412,4,140.0,0.8200000000000001
0.25179754133820725,0.7365922934002158,0.6186268360946942,0.6323353679023247,0.9970346578375731,0.8792000243077452,0.28390843786403896,0.8368965796609382,0.75,0.6806465417252748,0.9400190108075147,0,75.07564386056825,0.32499999999999996
0.27046249797155025,0.44771226584256196,0.4039389133279197,0.709720743866731,0.10641953187138287,0.9991047304742386,0.6656847361065369,0.650125015558797,0.75,0.3550789318888296,0.8879888286055799,0,62.99872245665512,0.32499999999999996
0.5541258160443656,0.6525188872989565,0.4438778093550322,0.3249812969816273,0.09044072698413275,0.8970333988966253,0.028999503204469423,0.24082805804114704,0.4,0.23554207050429096,0.7773587133276922,3,43.241229540020306,0.22
0.5050216328587092,0.23509949085729645,0.6551971445959202,0.5474154195171357,0.143021875166635,0.7767679406922186,0.19820422721289788,0.9106382271308853,0.1,0.2674506219513132,0.517661521287729,0,22.246779689670035,0.13
0.6169482570469557,0.3949892824714276,0.7338839134171968,0.6912166167272088,0.6562690393274901,0.036162710494696215,0.0054298341287004614,0.051657917014398924,0.9,0.5042459002169584,0.4906079155118719,1,84.92128833109793,0.37
0.6281109233905691,0.30705128931858217,0.4566965520498688,0.22409207118297583,0.6059251776477277,0.8014818108594153,0.23855282062738847,0.849408842923073,0.25,0.5044722237055963,0.529745666182498,2,36.585692772562965,0.175
0.2848592206371513,0.5756769242833502,0.6096191857492994,0.7321303528388157,0.057231940153260386,0.8009638536416762,0.9277954301722804,0.7721083991043806,0.6,0.4858727547410585,0.5365680135770893,0,52.80826139093914,0.28
0.3792039469759836,0.4037528383191779,0.4582556962016944,0.30420924749635714,0.6981207839786372,0.8379802186553831,0.04015129954706642,0.20178211071905539,0.25,0.65264779539435,0.43456308469769034,3,30.991902877881817,0.175
0.2714568279345094,0.4616377094242636,0.3248001419779863,0.5683976970753808,0.12492367930564308,0.5045309901929865,0.7451881283288445,0.6300118445763987,0.1,0.16589430672554809,0.13175483289206746,0,318.7368664588064,1.63
0.4404335553797819,0.6579730078318107,0.5851458061012371,0.3718016527601226,0.851131099761935,0.15521299244109088,0.7346210919351616,0.1930414908689041,0.75,0.5501815092004966,0.12566385286853599,4,192.5,1.1
